Genotype,Sample,Treatment,Experiment,FW_Roots,FW_Roots_log,DW_Roots,DW_Roots_log,FW_Shoots,FW_Shoots_log,DW_Shoots,DW_Shoots_log,Plant_height,Plant_height_log
Desiree,1,P. oligandrum,A,36.9,1.567026366,2.516,0.400710637,59.73,1.776192515,4.446,0.647969458,15.6,1.193124598
Desiree,3,P. oligandrum,A,38.28,1.582971929,3.326,0.521922245,47.54,1.677059177,2.326,0.36660971,14,1.146128036
Desiree,5,P. oligandrum,A,90.59,1.95708026,13.086,1.116806916,59.73,1.776192515,13.086,1.116806916,12,1.079181246
Desiree,7,P. oligandrum,A,31.57,1.499274582,2.586,0.412628521,46.89,1.671080233,2.586,0.412628521,13.7,1.136720567
Desiree,9,P. oligandrum,A,29.28,1.466571072,1.636,0.213783299,43.55,1.638988159,1.636,0.213783299,13,1.113943352
Desiree,11,P. oligandrum,A,39.85,1.600428326,2.936,0.467756051,52.94,1.723783937,2.936,0.467756051,13.4,1.127104798
Desiree,2,.Control,A,50.38,1.702258163,4.176,0.62076049,40.33,1.605628222,3.126,0.494988974,13,1.113943352
Desiree,4,.Control,A,57.45,1.759290033,9.076,0.957894487,42.8,1.631443769,3.766,0.575880316,14,1.146128036
Desiree,6,.Control,A,45.42,1.65724713,3.616,0.558228422,33.65,1.526985069,2.576,0.410945859,12.8,1.10720997
Desiree,8,.Control,A,31.64,1.500236475,4.156,0.618675539,22.43,1.350829274,0.286,-0.543633967,11,1.041392685
Desiree,10,.Control,A,64.22,1.807670301,10.556,1.023499382,32.09,1.506369717,2.246,0.351409752,15.5,1.190331698
Desiree,12,.Control,A,36.31,1.560026249,2.806,0.448087667,35.34,1.548266545,2.156,0.333648757,14,1.146128036
Desiree,1,P. oligandrum,B,20.823,1.318543299,2.054,0.312600439,47.593,1.677543081,8.704,0.939718882,11.9,1.075546961
Desiree,3,P. oligandrum,B,21.563,1.333709183,2.654,0.423900919,41.323,1.616191843,16.774,1.224636639,12,1.079181246
Desiree,5,P. oligandrum,B,30.823,1.488874906,2.774,0.443106457,49.013,1.690311286,13.534,1.131426172,11.5,1.06069784
Desiree,7,P. oligandrum,B,21.323,1.328848307,2.274,0.35679046,48.893,1.689246686,14.984,1.175627764,14.3,1.155336037
Desiree,9,P. oligandrum,B,23.793,1.376449205,3.054,0.484869033,54.223,1.734183542,11.614,1.064981822,16,1.204119983
Desiree,11,P. oligandrum,B,23.783,1.376266636,2.604,0.41564098,41.463,1.617660722,3.174,0.501606922,11.3,1.053078443
Desiree,2,.Control,B,18.873,1.27584094,2.384,0.377306251,38.163,1.581642507,2.534,0.403806611,11,1.041392685
Desiree,4,.Control,B,8.143,0.910784435,0.844,-0.073657553,29.443,1.468982059,4.994,0.698448538,11.8,1.071882007
Desiree,6,.Control,B,23.643,1.373702582,2.914,0.464489547,32.403,1.510585221,11.754,1.070185686,11.7,1.068185862
Desiree,8,.Control,B,18.853,1.275380468,2.074,0.316808752,33.103,1.519867354,10.714,1.029951642,14.5,1.161368002
Desiree,10,.Control,B,29.393,1.468243915,3.294,0.517723595,44.863,1.651888312,6.714,0.826981337,13,1.113943352
Desiree,12,.Control,B,31.203,1.494196351,2.484,0.395151592,25.713,1.41015275,2.254,0.352953912,8.5,0.929418926
Desiree,1,P. oligandrum,C,78.844,1.896768649,9.879,0.994712985,31.744,1.50166165,3.269,0.514414921,10.5,1.021189299
Desiree,3,P. oligandrum,C,57.524,1.759849078,7.239,0.859678577,38.414,1.584489532,4.719,0.673849977,11.5,1.06069784
Desiree,5,P. oligandrum,C,50.684,1.704870882,7.959,0.900858505,49.114,1.691205306,5.679,0.754271869,13.5,1.130333768
Desiree,7,P. oligandrum,C,146.284,2.165196827,49.939,1.698439842,55.924,1.747598227,4.639,0.666424373,15,1.176091259
Desiree,9,P. oligandrum,C,26.854,1.429008985,1.719,0.235275877,77.704,1.890443376,7.189,0.856668484,17,1.230448921
Desiree,11,P. oligandrum,C,69.584,1.84250939,10.509,1.021561392,79.344,1.899514091,7.289,0.86266795,18,1.255272505
Desiree,2,.Control,C,18.924,1.277012939,1.749,0.242789809,43.254,1.636026276,5.289,0.723373567,13.5,1.130333768
Desiree,4,.Control,C,29.004,1.462457896,3.239,0.510410948,35.304,1.547823914,4.249,0.628286731,10.5,1.021189299
Desiree,6,.Control,C,22.214,1.346626768,3.399,0.531351165,25.094,1.399569894,2.619,0.418135498,10.5,1.021189299
Desiree,8,.Control,C,20.034,1.301767669,1.969,0.294245716,54.344,1.735151602,5.199,0.715919817,15.5,1.190331698
Desiree,10,.Control,C,25.724,1.410338501,2.539,0.404662701,36.954,1.567661454,7.229,0.859078225,12,1.079181246
Desiree,12,.Control,C,14.824,1.170965406,1.759,0.245265839,49.184,1.691823846,3.189,0.503654519,13,1.113943352
